Location,Area,Price,New/Resale,House_Type,bhk,bath,Floor,Age,Gym,Lift,Car_Parking,Security,Play_area,Clubhouse,Indoor_Games,Gas,Jogging_Track,Swimming_Pool
Mulund West,417,9000000,1,Apartment,1,2,More than 5,,1,1,1,1,1,0,0,0,0,0
Natakwala Lane,999,17000000,0,Apartment,2,2,More than 5,,0,1,1,1,1,0,0,1,0,0
Borivali East,1080,21500000,1,Apartment,2,3,5,,1,1,1,1,1,1,0,1,1,1
Kandivali,1300,32000000,0,Apartment,3,2,More than 5,,0,1,1,1,1,0,0,1,0,0
Taloja,1100,5300000,0,Apartment,2,1,More than 5,,0,1,1,1,1,0,0,0,1,0
Taloja,738,3800000,0,Apartment,1,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Link Road,900,16000000,0,Apartment,2,3,More than 5,,1,1,1,1,1,0,0,1,0,0
Borivali East,1500,23000000,0,Apartment,3,2,More than 5,,1,1,1,1,1,1,1,1,1,1
Borivali West,900,16299999,0,Apartment,2,2,More than 5,,0,1,1,1,1,0,0,1,0,0
Devidas Cross Lane,800,13899999,0,Apartment,2,2,More than 5,,0,1,1,1,1,0,0,1,0,0
Soniwadi Road,900,21000000,0,Apartment,2,2,More than 5,,1,0,0,1,1,0,0,1,1,0
Haridas Nagar,900,20000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,1,0,0
Shimpoli,900,21000000,0,Apartment,2,3,More than 5,,0,0,0,0,0,0,0,1,0,0
TPS Road,1200,18500000,0,Apartment,3,2,4,,0,1,1,1,1,0,0,1,0,0
Off Shimpoli road,900,20500000,0,Independent House,2,1,More than 5,,1,1,1,1,1,0,0,1,1,0
Wadala,510,12500000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,1,0,1
Borivali,670,11000000,0,Apartment,1,3,More than 5,,0,1,1,1,1,0,0,0,0,0
Mahalaxmi,2710,150000000,0,Apartment,3,1,More than 5,,0,1,1,1,1,0,0,0,0,0
Worli,800,19500000,0,Apartment,1,2,More than 5,,0,1,1,1,1,0,0,0,0,0
Lower Parel,1388,55000000,0,Apartment,2,2,More than 5,,0,1,1,1,1,0,0,0,0,0
Worli,1100,45000000,0,Apartment,2,4,More than 5,,0,1,1,1,1,0,0,0,0,0
Worli,3638,400000000,0,Apartment,4,3,More than 5,,0,1,1,1,1,0,0,0,0,0
Worli,1700,70000000,0,Apartment,3,3,More than 5,,0,1,1,1,1,0,0,0,0,0
Prabhadevi,1700,85000000,0,Apartment,3,4,More than 5,,0,1,1,1,1,0,0,0,0,0
Kandivali,2450,35000000,0,Apartment,4,3,More than 5,,1,1,1,1,1,1,0,1,1,1
Kandivali,1165,18000000,0,Apartment,3,2,More than 5,,1,1,1,1,1,1,0,1,1,1
Kharghar,1025,11200000,0,Apartment,2,1,More than 5,,1,1,1,1,1,1,0,0,1,1
Rustomjee Global City,450,3100000,0,Apartment,1,2,More than 5,,0,0,1,0,0,0,0,1,0,0
Sunil Nagar,900,7500000,0,Apartment,2,1,More than 5,,1,1,1,1,1,0,0,0,0,0
Kharghar,603,4500000,0,Apartment,1,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1340,13500000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1550,16000000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1160,11000000,0,Apartment,2,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,650,6500000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,610,5600000,0,Independent House,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,860,7200000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,640,5500000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,560,6000000,0,Apartment,1,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1260,13200000,0,Apartment,2,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,850,6000000,0,Apartment,1,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1095,11500000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1500,15000000,0,Apartment,3,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,500,5000000,0,Apartment,1,1,More than 5,,0,0,0,1,1,0,0,0,0,0
Kharghar,635,5600000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Sector16 Airoli,610,4600000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Ranjanpada,1065,9500000,0,Apartment,2,3,4,,0,0,1,1,1,0,0,0,0,0
Sector 15,1251,12700000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Sector 35G,1065,9500000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Sector 18,1320,14000000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Sector 5,1136,10500000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Sector 10,1125,9900000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1098,10000000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1300,13000000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,735,7800000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,640,4200000,0,Independent House,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1090,9800000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,800,4500000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,1300,15000000,0,Apartment,3,4,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharghar,560,5300000,0,Apartment,1,2,More than 5,,0,0,1,1,1,0,0,0,0,0
